,silh,dbi,ch
1,,,
2,0.6057001654834329,0.5000004746134783,96423.71561141564
3,0.5782035818205634,0.5000009375572558,131004.82297607792
4,0.5460409090410948,0.5000016031491157,155886.63775350802
5,0.551063508590201,0.5000023888323787,205170.8101307016
6,0.5375758532437078,0.5000034160635503,228765.09234263632
7,0.5164563321133151,0.5000050939034405,247976.04448238952
8,0.5087310149809856,0.5000061706265628,267442.88366207125
9,0.5004357596044765,0.5000074303395617,311101.8369620488
10,0.5120716230482625,0.5000089991449135,340960.12928198755
